symbol,direction,entry_time,close_time,holding_minutes,holding_hours,entry_price,close_price,pnl,close_reason,probability,quality_score
SHIB/USDT:USDT,long,2026-01-27T16:17:11,2026-01-27T17:09:50,52.65,0.88,7.799e-06,7.742e-06,-0.31,Stop Loss достигнут (0.00),0.0,0.0
XLM/USDT:USDT,long,2026-01-27T16:09:49,2026-01-27T17:09:48,59.98,1.0,0.20804,0.20697,-0.51,Stop Loss достигнут (0.21),0.0,0.0
SHIB/USDT:USDT,long,2026-01-27T16:23:35,2026-01-27T17:08:26,44.85,0.75,7.778e-06,7.753e-06,-0.17,Stop Loss достигнут (0.00),0.0,0.0
SHIB/USDT:USDT,long,2026-01-27T16:29:42,2026-01-27T17:08:05,38.38,0.64,7.796e-06,7.758e-06,-0.1,Stop Loss достигнут (0.00),0.0,0.0
DOT/USDT:USDT,long,2026-01-27T16:23:51,2026-01-27T17:06:40,42.82,0.71,1.876,1.862,0.05,Stop Loss достигнут (1.86),0.0,0.0
SHIB/USDT:USDT,long,2026-01-27T16:54:27,2026-01-27T17:06:36,12.15,0.2,7.796e-06,7.754e-06,-0.15,Stop Loss достигнут (0.00),0.0,0.0
NCCOSILVER2USD/USDT:USDT,long,2026-01-27T16:37:40,2026-01-27T17:06:28,28.8,0.48,10852.9,10732.0,-1.12,Stop Loss достигнут (10740.59),64.99375,20.0
NCCOSILVER2USD/USDT:USDT,long,2026-01-27T16:37:57,2026-01-27T17:06:27,28.5,0.47,10852.9,10737.6,-1.06,Stop Loss достигнут (10740.59),0.0,0.0
DOT/USDT:USDT,long,2026-01-27T16:42:15,2026-01-27T17:06:25,24.17,0.4,1.876,1.863,0.11,Stop Loss достигнут (1.86),0.0,0.0
DOT/USDT:USDT,long,2026-01-27T16:42:28,2026-01-27T17:06:24,23.93,0.4,1.876,1.864,0.16,Stop Loss достигнут (1.86),0.0,0.0
SHIB/USDT:USDT,long,2026-01-27T16:56:02,2026-01-27T17:06:22,10.33,0.17,7.796e-06,7.756e-06,-0.13,Stop Loss достигнут (0.00),0.0,0.0
SHIB/USDT:USDT,long,2026-01-27T16:57:36,2026-01-27T17:06:20,8.73,0.15,7.796e-06,7.761e-06,-0.06,Stop Loss достигнут (0.00),0.0,0.0
SHIB/USDT:USDT,long,2026-01-27T16:59:10,2026-01-27T17:06:19,7.15,0.12,7.796e-06,7.761e-06,-0.06,Stop Loss достигнут (0.00),0.0,0.0
SHIB/USDT:USDT,long,2026-01-27T17:00:24,2026-01-27T17:06:15,5.85,0.1,7.806e-06,7.763e-06,-0.04,Stop Loss достигнут (0.00),0.0,0.0
SHIB/USDT:USDT,long,2026-01-27T17:00:47,2026-01-27T17:06:14,5.45,0.09,7.806e-06,7.763e-06,-0.04,Stop Loss достигнут (0.00),0.0,0.0
SHIB/USDT:USDT,long,2026-01-27T17:01:26,2026-01-27T17:06:12,4.77,0.08,7.806e-06,7.763e-06,-0.04,Stop Loss достигнут (0.00),0.0,0.0
ZEC/USDT:USDT,long,2026-01-27T16:10:37,2026-01-27T17:05:10,54.55,0.91,397.57,397.32,-0.06,Stop Loss достигнут (401.17),92.0,18.0
ZEC/USDT:USDT,short,2026-01-27T17:02:26,2026-01-27T17:03:23,0.95,0.02,397.57,397.35,-0.06,Stop Loss достигнут (401.17),0.0,0.0
ZEC/USDT:USDT,long,2026-01-27T16:10:53,2026-01-27T16:45:56,35.05,0.58,397.11,397.6,0.76,Stop Loss достигнут (400.77),0.0,0.0
ZEC/USDT:USDT,short,2026-01-27T16:43:46,2026-01-27T16:44:22,0.6,0.01,397.11,397.54,0.74,Stop Loss достигнут (400.77),0.0,0.0
ETH/USDT:USDT,long,2026-01-27T16:10:53,2026-01-27T16:41:16,30.38,0.51,2975.74,2990.8,0.51,Take Profit достигнут (2986.16),92.0,23.0
ETH/USDT:USDT,long,2026-01-27T16:10:54,2026-01-27T16:39:44,28.83,0.48,2979.5,2993.36,0.6,Take Profit достигнут (2986.16),0.0,0.0
ETH/USDT:USDT,long,2026-01-27T16:24:35,2026-01-27T16:38:12,13.62,0.23,2979.5,2987.0,0.38,Take Profit достигнут (2986.16),0.0,0.0
AUCTION/USDT:USDT,long,2026-01-27T15:01:45,2026-01-27T16:36:55,95.17,1.59,6.206,6.159,0.52,Stop Loss достигнут (6.16),0.0,0.0
AUCTION/USDT:USDT,long,2026-01-27T16:00:31,2026-01-27T16:35:22,34.85,0.58,6.201,6.162,0.57,Stop Loss достигнут (6.16),0.0,0.0
ETH/USDT:USDT,long,2026-01-27T16:26:15,2026-01-27T16:35:05,8.83,0.15,2979.5,2987.18,0.39,Take Profit достигнут (2986.16),0.0,0.0
ETH/USDT:USDT,long,2026-01-27T16:27:57,2026-01-27T16:31:46,3.82,0.06,2979.5,2989.93,0.48,Take Profit достигнут (2986.16),0.0,0.0
XLM/USDT:USDT,long,2026-01-27T16:09:59,2026-01-27T16:30:19,20.33,0.34,0.20846,0.20728,-0.37,Stop Loss достигнут (0.21),0.0,0.0
